language,cls_name,r,accuracy,precision,recall,f1
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_005,2.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.2,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.4,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.6000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,0.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.2000000000000002,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.4000000000000001,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.6,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_010,1.8,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
